144.557, 198.668, 2.343,  9.263 False
144.635, 198.667, 2.342,  9.296 False
144.713, 198.667, 2.342,  9.329 False
144.791, 198.667, 2.342,  9.362 False
144.869, 198.667, 2.341,  9.395 False
144.947, 198.667, 2.341,  9.428 False
145.025, 198.666, 2.341,  9.461 False
145.103, 198.666, 2.342,  9.494 False
145.181, 198.666, 2.342,  9.527 False
145.260, 198.666, 2.342,  9.560 False
145.338, 198.666, 2.343,  9.593 False
145.416, 198.665, 2.344,  9.626 False
145.494, 198.665, 2.345,  9.659 False
145.572, 198.665, 2.346,  9.692 False
145.650, 198.665, 2.347,  9.725 False
145.729, 198.665, 2.348,  9.758 False
145.807, 198.665, 2.349,  9.791 False
145.885, 198.664, 2.350,  9.824 False
145.964, 198.664, 2.352,  9.857 False
146.042, 198.664, 2.353,  9.890 False
146.120, 198.664, 2.354,  9.923 False
146.199, 198.664, 2.355,  9.956 False
146.278, 198.664, 2.357,  9.989 False
146.356, 198.663, 2.358, 10.022 False
146.435, 198.663, 2.359, 10.055 False
146.513, 198.663, 2.360, 10.088 False
146.592, 198.663, 2.361, 10.121 False
146.671, 198.663, 2.362, 10.154 False
146.750, 198.663, 2.364, 10.187 False
146.829, 198.663, 2.365, 10.220 False
146.907, 198.662, 2.366, 10.253 False
146.986, 198.662, 2.367, 10.286 False
147.065, 198.662, 2.368, 10.319 False
147.144, 198.662, 2.369, 10.352 False
147.223, 198.662, 2.370, 10.385 False
147.302, 198.662, 2.371, 10.418 False
147.381, 198.661, 2.372, 10.451 False
147.460, 198.661, 2.373, 10.484 False
147.540, 198.661, 2.374, 10.517 False
147.619, 198.661, 2.375, 10.550 False
147.698, 198.661, 2.376, 10.583 False
147.777, 198.661, 2.377, 10.616 False
147.857, 198.661, 2.378, 10.649 False
147.936, 198.661, 2.379, 10.682 False
148.015, 198.660, 2.380, 10.715 False
148.095, 198.660, 2.381, 10.748 False
148.174, 198.660, 2.382, 10.781 False
148.253, 198.660, 2.384, 10.814 False
148.333, 198.660, 2.385, 10.847 False
148.412, 198.660, 2.386, 10.880 False
148.492, 198.660, 2.387, 10.913 False
148.572, 198.660, 2.388, 10.946 False
148.651, 198.660, 2.389, 10.979 False
148.731, 198.659, 2.390, 11.012 False
148.811, 198.659, 2.391, 11.045 False
148.890, 198.659, 2.391, 11.078 False
148.970, 198.659, 2.392, 11.111 False
149.050, 198.659, 2.392, 11.144 False
149.129, 198.659, 2.390, 11.177 False
149.209, 198.659, 2.390, 11.210 False
149.289, 198.659, 2.391, 11.243 False
149.369, 198.659, 2.398, 11.276 False
149.449, 198.658, 2.412, 11.309 False
149.530, 198.658, 2.436, 11.342 False
149.612, 198.658, 2.472, 11.375 False
149.696, 198.658, 2.518, 11.408 False
149.782, 198.658, 2.573, 11.441 False
149.870, 198.658, 2.634, 11.474 False
149.959, 198.658, 2.701, 11.507 False
150.052, 198.658, 2.771, 11.540 False
150.146, 198.658, 2.843, 11.573 False
150.243, 198.657, 2.915, 11.606 False
150.343, 198.657, 2.985, 11.639 False
150.444, 198.657, 3.052, 11.672 False
150.548, 198.657, 3.114, 11.705 False
150.653, 198.657, 3.171, 11.738 False
150.760, 198.657, 3.222, 11.771 False
150.869, 198.657, 3.267, 11.804 False
150.978, 198.657, 3.305, 11.837 False
151.089, 198.656, 3.337, 11.870 False
151.201, 198.656, 3.363, 11.903 False
151.314, 198.656, 3.383, 11.936 False
151.426, 198.656, 3.398, 11.969 False
151.540, 198.656, 3.408, 12.002 False
151.653, 198.656, 3.414, 12.035 False
151.767, 198.656, 3.417, 12.068 False
151.880, 198.656, 3.417, 12.101 False
151.994, 198.656, 3.416, 12.134 False
152.107, 198.656, 3.413, 12.167 False
152.221, 198.656, 3.409, 12.200 False
152.334, 198.656, 3.404, 12.233 False
152.447, 198.655, 3.399, 12.266 False
152.560, 198.655, 3.395, 12.299 False
152.673, 198.655, 3.391, 12.332 False
152.786, 198.655, 3.387, 12.365 False
152.899, 198.655, 3.384, 12.398 False
153.011, 198.655, 3.381, 12.431 False
153.124, 198.655, 3.379, 12.464 False
153.236, 198.655, 3.377, 12.497 False
153.349, 198.655, 3.377, 12.530 False
153.461, 198.655, 3.376, 12.563 False
153.574, 198.655, 3.376, 12.596 False
153.686, 198.655, 3.377, 12.629 False
153.799, 198.655, 3.377, 12.662 False
153.911, 198.655, 3.378, 12.695 False
154.024, 198.655, 3.379, 12.728 False
154.137, 198.655, 3.381, 12.761 False
154.249, 198.655, 3.382, 12.794 False
154.362, 198.655, 3.384, 12.827 False
154.475, 198.655, 3.385, 12.860 False
154.588, 198.655, 3.386, 12.893 False
154.701, 198.655, 3.388, 12.926 False
154.814, 198.655, 3.389, 12.959 False
154.927, 198.655, 3.390, 12.992 False
155.040, 198.655, 3.392, 13.025 False
155.153, 198.655, 3.393, 13.058 False
155.266, 198.655, 3.394, 13.091 False
155.379, 198.655, 3.395, 13.124 False
155.492, 198.655, 3.396, 13.157 False
155.606, 198.655, 3.397, 13.190 False
155.719, 198.655, 3.397, 13.223 False
155.832, 198.655, 3.398, 13.256 False
155.945, 198.655, 3.399, 13.289 False
156.059, 198.655, 3.400, 13.322 False
156.172, 198.655, 3.401, 13.355 False
156.285, 198.655, 3.401, 13.388 False
156.399, 198.655, 3.402, 13.421 False
156.512, 198.655, 3.403, 13.454 False
156.626, 198.655, 3.403, 13.487 False
156.739, 198.655, 3.404, 13.520 False
156.853, 198.655, 3.405, 13.553 False
156.966, 198.655, 3.406, 13.586 False
157.080, 198.655, 3.406, 13.619 False
157.193, 198.655, 3.407, 13.652 False
157.307, 198.655, 3.408, 13.685 False
157.420, 198.655, 3.409, 13.718 False
157.534, 198.655, 3.409, 13.751 False
157.648, 198.655, 3.410, 13.784 False
157.761, 198.655, 3.411, 13.817 False
157.875, 198.655, 3.412, 13.850 False
157.989, 198.655, 3.412, 13.883 False
158.103, 198.656, 3.413, 13.916 False
158.216, 198.656, 3.414, 13.949 False
158.330, 198.656, 3.415, 13.982 False
158.444, 198.656, 3.415, 14.015 False
158.558, 198.656, 3.416, 14.048 False
158.672, 198.656, 3.417, 14.081 False
158.786, 198.656, 3.411, 14.114 False
158.898, 198.656, 3.381, 14.147 False
159.010, 198.656, 3.334, 14.180 False
159.119, 198.656, 3.271, 14.213 False
159.226, 198.656, 3.192, 14.246 False
159.329, 198.656, 3.115, 14.279 False
159.431, 198.656, 3.046, 14.312 False
159.531, 198.656, 2.995, 14.345 False
159.630, 198.656, 2.974, 14.378 False
159.729, 198.656, 2.990, 14.411 False
159.831, 198.656, 3.043, 14.444 False
159.935, 198.656, 3.124, 14.477 False
160.042, 198.656, 3.224, 14.510 False
160.154, 198.656, 3.338, 14.543 False
160.269, 198.656, 3.463, 14.576 False
160.389, 198.656, 3.595, 14.609 False
160.513, 198.656, 3.728, 14.642 False
160.641, 198.656, 3.845, 14.675 False
160.772, 198.656, 3.933, 14.708 False
160.905, 198.656, 3.991, 14.741 False
161.039, 198.657, 4.026, 14.774 False
161.174, 198.657, 4.048, 14.807 False
161.309, 198.657, 4.070, 14.840 False
161.446, 198.657, 4.105, 14.873 False
161.584, 198.657, 4.163, 14.906 False
161.724, 198.657, 4.241, 14.939 False
161.868, 198.657, 4.336, 14.972 False
162.016, 198.657, 4.442, 15.005 False
162.167, 198.657, 4.557, 15.038 False
162.322, 198.657, 4.678, 15.071 False
162.482, 198.657, 4.805, 15.104 False
162.646, 198.657, 4.936, 15.137 False
162.814, 198.657, 5.071, 15.170 False
162.987, 198.657, 5.206, 15.203 False
